timestamp,open,high,low,close,volume
2024-06-04 13:00:00,68944.69,69448.22,68942.61,69415.91,444.861513
2024-06-04 13:30:00,69415.91,69830.98,69225.32,69536.53,679.71292
2024-06-04 14:00:00,69536.53,70082.52,69536.53,69762.62,832.080223
2024-06-04 14:30:00,69762.62,69861.6,69314.21,69656.5,642.251326
2024-06-04 15:00:00,69656.5,70185.7,69458.73,69994.79,574.176492
2024-06-04 15:30:00,69994.79,70512.15,69971.0,70450.57,604.893677
2024-06-04 16:00:00,70450.57,70941.25,70400.0,70883.12,710.891595
2024-06-04 16:30:00,70883.12,71021.52,70659.93,70830.42,721.712885
2024-06-04 17:00:00,70830.42,70880.42,70349.79,70488.0,455.605732
2024-06-04 17:30:00,70488.0,70719.82,70362.49,70572.72,287.12003
2024-06-04 18:00:00,70572.72,71081.56,70572.67,70947.0,392.990417
2024-06-04 18:30:00,70947.0,71016.87,70701.36,70711.29,418.150252
2024-06-04 19:00:00,70711.29,70741.63,70463.34,70476.9,298.127345
2024-06-04 19:30:00,70476.9,70519.81,70080.84,70427.22,553.493826
2024-06-04 20:00:00,70427.22,70449.6,70169.6,70258.51,300.313087
2024-06-04 20:30:00,70258.51,70554.65,70219.3,70396.4,165.143329
2024-06-04 21:00:00,70396.4,70497.0,70337.49,70492.73,118.256775
2024-06-04 21:30:00,70492.73,70620.86,70435.04,70612.87,101.714384
2024-06-04 22:00:00,70612.87,70738.69,70515.62,70651.8,273.191509
2024-06-04 22:30:00,70651.8,70707.31,70501.42,70569.53,184.689815
2024-06-04 23:00:00,70569.53,70594.86,70409.0,70411.11,113.871076
2024-06-04 23:30:00,70411.11,70619.91,70411.11,70535.9,136.078069
2024-06-05 00:00:00,70535.9,70656.48,70426.7,70627.88,176.311258
2024-06-05 00:30:00,70627.88,70907.26,70551.48,70786.12,463.457392
2024-06-05 01:00:00,70786.12,71006.35,70650.0,70989.18,237.611047
2024-06-05 01:30:00,70989.18,71299.23,70879.0,70976.13,294.567914
2024-06-05 02:00:00,70976.13,71006.93,70657.07,70971.06,229.381729
2024-06-05 02:30:00,70971.06,71144.66,70814.67,70841.23,242.549921
2024-06-05 03:00:00,70841.23,70944.0,70775.73,70869.22,184.133999
2024-06-05 03:30:00,70869.22,70993.15,70764.63,70941.75,171.343164
2024-06-05 04:00:00,70941.75,71067.44,70829.03,71038.87,183.990327
2024-06-05 04:30:00,71038.87,71250.9,71015.9,71171.98,217.752692
2024-06-05 05:00:00,71171.98,71195.09,70875.65,71038.16,193.166327
2024-06-05 05:30:00,71038.16,71051.39,70892.45,70997.33,124.353507
2024-06-05 06:00:00,70997.33,71011.9,70833.5,70973.56,212.699726
2024-06-05 06:30:00,70973.56,71155.5,70894.04,71121.89,224.490561
2024-06-05 07:00:00,71121.89,71215.0,71012.46,71062.64,262.421877
2024-06-05 07:30:00,71062.64,71375.0,71016.55,71207.59,333.141729
2024-06-05 08:00:00,71207.59,71244.56,71029.38,71097.81,171.03384
2024-06-05 08:30:00,71097.81,71134.3,70881.71,70929.58,244.621951
2024-06-05 09:00:00,70929.58,71032.87,70865.37,70991.17,140.929895
2024-06-05 09:30:00,70991.17,71019.44,70805.06,70898.43,179.350137
2024-06-05 10:00:00,70898.43,70914.0,70726.31,70775.96,175.971351
2024-06-05 10:30:00,70775.96,70910.5,70724.5,70794.14,188.057377
2024-06-05 11:00:00,70794.14,71006.66,70700.0,70902.99,161.594703
2024-06-05 11:30:00,70902.99,71103.0,70845.5,70967.87,218.320961
2024-06-05 12:00:00,70967.87,71033.84,70650.24,70770.5,290.653583
2024-06-05 12:30:00,70770.5,71129.99,70654.57,70946.57,372.248435
2024-06-05 13:00:00,70946.57,71175.0,70888.16,71124.19,233.784582
2024-06-05 13:30:00,71124.19,71124.19,70600.1,70744.79,490.048182
2024-06-05 14:00:00,70744.79,70773.78,70379.81,70742.81,476.432519
2024-06-05 14:30:00,70742.81,71068.7,70691.42,70870.17,277.156436
2024-06-05 15:00:00,70870.17,71577.53,70763.1,71551.49,576.660191
